tier,priority,product_title,handle,url,vendor,product_type,price_usd,inventory,images,variants,already_received_social_traffic,channel,sessions_90d,cart_adds_90d,checkouts_90d,status,primary_issue,recommended_action
1,1,"Medicube Korean Brightening Deodorant – Vanilla Pistachio (Kojic Acid + Turmeric)","new-medicube-deodorant-vanilla-pistachio-fresh-that-lasts-24-hour-odor-control-no-aluminum-baking-soda-parabens-phthalates-ethanol-brightening-smoothing-for-dark-underarms-with-kojic-acid-turmeric-korean-skincare-k-beauty","https://urbnova.net/products/new-medicube-deodorant-vanilla-pistachio-fresh-that-lasts-24-hour-odor-control-no-aluminum-baking-soda-parabens-phthalates-ethanol-brightening-smoothing-for-dark-underarms-with-kojic-acid-turmeric-korean-skincare-k-beauty","Medicube",Deodorant,,,,,Yes,Direct/Mobile,18,5,2,ad-ready,handle too long (240+ chars),"Build IG/FB campaign immediately. Shorten handle. Use as creative+LP template."
1,2,"Medicube Korean Brightening Deodorant – Original (Kojic Acid)","medicube-korean-brightening-deodorant","https://urbnova.net/products/medicube-korean-brightening-deodorant","Medicube",Deodorant,,,,,No,,,,,,ad-ready,none,"Bundle test against Vanilla Pistachio variant"
1,3,"Tarte Big Stick Energy Duo – Shape Tape Concealer Stick & Brush","tarte-big-stick-energy-duo-shape-tape-concealer-stick-brush","https://urbnova.net/products/tarte-big-stick-energy-duo-shape-tape-concealer-stick-brush","Tarte",Concealer,68.99,30,23,15,No,,,,,,ad-ready,low inventory (30),"Reorder to 100+ before scaling spend"
1,4,"JLO Beauty Star Filter Complexion Booster","jlo-beauty-that-star-filter-complexion-booster-glowy-skin-enhancer-with-mineral-pigments-vitamin-e-hydrators-for-radiant-skin-use-with-or-without-makeup","https://urbnova.net/products/jlo-beauty-that-star-filter-complexion-booster-glowy-skin-enhancer-with-mineral-pigments-vitamin-e-hydrators-for-radiant-skin-use-with-or-without-makeup","JLO Beauty","Complexion Booster",44.99,40,13,4,No,,,,,,needs minor fix,handle too long; low inventory,"Shorten handle to jlo-beauty-star-filter-complexion-booster; reorder"
1,5,"One-Step Eyebrow Stamp & Stencil Kit","ptwop-one-step-eyebrow-stamp-shaping-kit-set-waterproof-women-makeup-brows-stencil-and-kit-tattoo-eyebrow-brush-shipping-free","https://urbnova.net/products/ptwop-one-step-eyebrow-stamp-shaping-kit-set-waterproof-women-makeup-brows-stencil-and-kit-tattoo-eyebrow-brush-shipping-free","Urbnova","Eyebrow Stamp Kit",3.90,4000,11,5,No,,,,,,needs minor fix,price too low for ad CPC; handle too long,"Reprice to $14.99-$19.99; shorten handle"
1,6,"Stainless Steel Tongue Scraper — Fresh Breath in 5 Seconds","stainless-steel-tongue-scraper","https://urbnova.net/products/stainless-steel-tongue-scraper","MasterMedi","Tongue Scraper",7.10,6000,11,6,No,,,,,,needs minor fix,price too low,"Bundle as 2-pack at $14.99"
2,7,"Water Bank Blue Hyaluronic Intensive Moisturizer","water-bank-blue-hyaluronic-intensive-moisturizer-hydrating-face-cream-for-extra-dry-skin-with-squalane-peptide-for-skin-barrier-support-dermatologist-tested","https://urbnova.net/products/water-bank-blue-hyaluronic-intensive-moisturizer-hydrating-face-cream-for-extra-dry-skin-with-squalane-peptide-for-skin-barrier-support-dermatologist-tested","Laneige",Moisturizer,,,,,Yes,TikTok,4,0,0,needs minor fix,handle 200+ chars; no LP optimization,"Shorten handle; rewrite hero copy with K-beauty hook"
2,8,"Maybelline New York Super Stay Better Skin Powder – Warm Nude","new-york-super-stay-better-skin-powder-warm-nude-0-32-oz","https://urbnova.net/products/new-york-super-stay-better-skin-powder-warm-nude-0-32-oz","Maybelline","Setting Powder",,,,,Yes,TikTok,4,0,0,needs minor fix,no hook in title,"Add hook above fold: '24hr full-coverage setting powder'"
2,9,"YSL Rouge Couture Satin Lipstick – 434 Promenade","rouge-couture-satin-lipstick-434-promenade-by-christian-for-women-0-12-oz-lipstick-refillable","https://urbnova.net/products/rouge-couture-satin-lipstick-434-promenade-by-christian-for-women-0-12-oz-lipstick-refillable","YSL",Lipstick,,,,,Yes,TikTok,4,0,0,needs minor fix,vendor unclear; weak FOMO,"Add YSL brand badging; add 'limited stock' indicator"
2,10,"Forever Natural Velvet Foundation 3N Neutral","forever-natural-velvet-3n-neutral-by-christian-for-women-0-35-oz-foundation","https://urbnova.net/products/forever-natural-velvet-3n-neutral-by-christian-for-women-0-35-oz-foundation","Dior",Foundation,,,,,Yes,TikTok,2,0,0,needs minor fix,duplicate of #28,"Merge with duplicate; add 301"
2,11,"Dior Addict Hydrating Shine Lipstick – 558 Bois de Rose","addict-hydrating-shine-lipstick-558-bois-de-rose-lipstick-refillable-women-0-11-oz","https://urbnova.net/products/addict-hydrating-shine-lipstick-558-bois-de-rose-lipstick-refillable-women-0-11-oz","Dior",Lipstick,,,,,Yes,TikTok,2,0,0,needs minor fix,no urgency or social proof,"Add reviews widget; show shade swatch large"
2,12,"Dior Addict Lip Maximizer 028","addict-lip-maximizer-028-8-intense-by-for-women-0-2-oz-lip-gloss","https://urbnova.net/products/addict-lip-maximizer-028-8-intense-by-for-women-0-2-oz-lip-gloss","Dior","Lip Gloss",,,,,Yes,TikTok,1,0,0,needs minor fix,same as #11,"Add reviews widget; before/after lip image"
2,13,"Organic Face Sunscreen SPF 50","organic-face-sunscreen-spf-50-sunblock-lotion-dermatologist-tested-skin-care-for-daily-protection-vegan-and-gluten-free-fragrance-free-1-7-fl-oz","https://urbnova.net/products/organic-face-sunscreen-spf-50-sunblock-lotion-dermatologist-tested-skin-care-for-daily-protection-vegan-and-gluten-free-fragrance-free-1-7-fl-oz","Various",Sunscreen,,,,,Yes,Facebook,1,0,0,needs minor fix,weak hero image,"Replace hero with lifestyle shot; add SPF/clean-beauty badges"
2,14,"Dr. Melaxin Cemenrete Calcium Dark Spot Eye Cream","dr-melaxin-official-cemenrete-calcium-dark-spot-eye-cream-dark-circle-anti-aging-sagging-elasticity-korean-cosmetics","https://urbnova.net/products/dr-melaxin-official-cemenrete-calcium-dark-spot-eye-cream-dark-circle-anti-aging-sagging-elasticity-korean-cosmetics","Dr.Melaxin","Eye Care",,,,,Yes,Facebook,1,0,0,needs minor fix,K-beauty hook not surfaced,"Pair with Medicube K-beauty IG funnel"
2,15,"Rootation Berberine Gummies (2-pack)","pack-of-2-rootation-berberine-gummies-500-mg-blood-sugar-metabolism-support-energy-balance-sugar-free-mixed-berry-flavor-60-gummies-30-day-supply-dietary-supplement","https://urbnova.net/products/pack-of-2-rootation-berberine-gummies-500-mg-blood-sugar-metabolism-support-energy-balance-sugar-free-mixed-berry-flavor-60-gummies-30-day-supply-dietary-supplement","Rootation",Supplement,,,,,Yes,Facebook,1,0,0,needs minor fix,off-vertical for beauty audience,"Run separate wellness audience or pause"
2,16,"Lopeie Fluorescent Nectar Floral Perfume","lopeie-fluorescent-nectar-long-lasting-elegant-white-floral-perfume-for-women-jasmine-gardenia-notes-100ml","https://urbnova.net/products/lopeie-fluorescent-nectar-long-lasting-elegant-white-floral-perfume-for-women-jasmine-gardenia-notes-100ml","Lopeie",Perfume,,,,,Yes,Facebook,1,0,0,needs minor fix,fragrance is hard to sell on cold IG,"Use video ad with notes-pyramid storytelling"
2,17,"MAC Retro Matte Lipstick – Ruby Woo","mac-retro-matte-lipstick-ruby-woo","https://urbnova.net/products/mac-retro-matte-lipstick-ruby-woo","MAC Cosmetics",Lipstick,23.99,10,,,Yes,Facebook,1,0,0,needs minor fix,low inventory (10),"Reorder; iconic SKU has high IG CTR potential"
2,18,"Korean Collagen Sheet Mask – 5 Pack","korean-collagen-sheet-mask-5-pack","https://urbnova.net/collections/k-beauty/products/korean-collagen-sheet-mask-5-pack","Various","Sheet Mask",,,,,Yes,Facebook,1,0,0,needs minor fix,K-beauty hook good,"Pair with Medicube K-beauty IG funnel"
2,19,"Rosewater Facial Toner with Hyaluronic Acid","rosewater-facial-toner-with-hyaluronic-acid-dry-to-combination-skin-hydrating-toner-refines-pores-minimizes-look-of-fine-lines-and-wrinkles-hypoallergenic-vegan-cruelty-free-8oz","https://urbnova.net/products/rosewater-facial-toner-with-hyaluronic-acid-dry-to-combination-skin-hydrating-toner-refines-pores-minimizes-look-of-fine-lines-and-wrinkles-hypoallergenic-vegan-cruelty-free-8oz","Heritage Store",Toner,,,,,Yes,Facebook,1,0,0,needs minor fix,handle too long,"Shorten handle; lead with vegan/cruelty-free badges"
2,20,"Lip Perfector Peptide Plumping Lip Gloss","lip-perfector-peptide-plumping-and-hydrating-lip-gloss-instant-shine-with-sheer-shimmer-finish-non-sticky-texture-with-vanilla-scent-0-35-ounces","https://urbnova.net/products/lip-perfector-peptide-plumping-and-hydrating-lip-gloss-instant-shine-with-sheer-shimmer-finish-non-sticky-texture-with-vanilla-scent-0-35-ounces","Clarins","Lip Gloss",,,,,Yes,Facebook,1,0,0,needs minor fix,handle too long,"Shorten handle; lead with 'instant shine + vanilla' hook"
2,21,"Electric Shaver for Women","electric-shaver-for-women-for-legs-electric-razor-for-women-portable-lady-razors-bikini-face-underarm-public-hairs-rechargeable-trimmer-with-detachable-head-cordless-wet-dry-use","https://urbnova.net/products/electric-shaver-for-women-for-legs-electric-razor-for-women-portable-lady-razors-bikini-face-underarm-public-hairs-rechargeable-trimmer-with-detachable-head-cordless-wet-dry-use","Various","Electric Shaver",,,,,Yes,Facebook,1,0,0,needs minor fix,off-vertical; typo 'public' vs 'pubic',"Fix typo; consider pausing for beauty audience"
2,22,"Right Wing Naturals Beef Tallow Balm","right-wing-naturals-balm-of-the-brave-grass-fed-beef-tallow-men-s-balm-4-oz-rugged-moisture-for-hands-face-beard-scars-american-made-scents-white-oak-vanilla-or-tobaco-woods-no-chemicals-no-compromise","https://urbnova.net/products/right-wing-naturals-balm-of-the-brave-grass-fed-beef-tallow-men-s-balm-4-oz-rugged-moisture-for-hands-face-beard-scars-american-made-scents-white-oak-vanilla-or-tobaco-woods-no-chemicals-no-compromise","Right Wing Naturals",Balm,,,,,Yes,Facebook,1,0,0,needs minor fix,off-vertical; men's,"Run separate men's grooming audience or pause"
